task,vri_id,mitypeTitle,mitypeNumber,mitypeType,mit_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,vriType,result_doc_type,result_docnum,additional_info,mitypeURL,query_meta,org_title_norm,owner_norm,mitypeTitle_norm
tsagi_manometers,39097412,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097413,Маном...,47013-14,ДМ 05...,358186,00191...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,И-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097415,Маном...,47013-14,ДМ 05...,358186,00203...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097416,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097418,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097419,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097420,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097422,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097423,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097424,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097425,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097426,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097427,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097428,Маном...,47013-14,ДМ 05...,358186,00203...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097429,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097431,Маном...,47013-14,ДМ 05...,358186,00204...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097432,Маном...,47013-14,ДМ 05...,358186,00203...,ДМ 05100,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/358186,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097433,Маном...,1778-63,ОБМ1-...,318127,1423086,ОБМ1-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097434,Маном...,1778-63,ОБМ1-...,318127,1350099,ОБМ1-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/318127,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097435,Маном...,3255-72,МТП-1...,340926,1881678,МТП-1...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/340926,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097437,Маном...,1784-63,ОБМ1-...,318216,1946600,ОБМ1-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/318216,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097438,Маном...,10135-85,МП3-У...,304272,1268135,МП3А-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/304272,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097439,Маном...,10135-85,МП3-У...,304272,1267849,МП3А-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/304272,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097440,Маном...,10135-85,МП3-У...,304272,1268127,МП3А-...,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/304272,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
tsagi_manometers,39097442,Маном...,53902-13,"МП, В...",366289,144040,МП3-Ус,,ФГУП ...,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,И-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/366289,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2021'}",ФЕДЕР...,ФГУП ...,Маном...
